SECTION 1: DAILY STRATA EMAIL & NOTICE MONITORING,,,,,,
Step #,Step Title,Action,Output,SLA,QA,Risk & Mitigation
1,Check Shared Strata Inbox,Open shared “Strata” inbox before 10 AM daily. Filter unread by strata code.,Inbox reviewed,5 min,Daily log,Missed notices ? dashboard alert
2,Identify Notice Type,Classify each item: ? Inspection? Insurance? AGM? Special Levy? Infraction? Strata Manager Change? Water/Flow Meter? Portal/Access,Labeled email,5 min,Correct tag,Misclassified ? weekly audit
3,Review Attachments,"Open all PDFs/faxes; check for AGM attachments, insurance summaries, or owner CCs.",Key details extracted,5 min,Attachment opened,Overlooked data ? double review
4,File to Building Subfolder,Move processed emails into /Strata/[Building]/2025/Notices.,Organized archive,5 min,Folder verified,Lost doc ? File naming rule
5,Log in LeadSimple,"Add notice to workflow “Strata Notices.” Include building ID, type, due date, assigned staff.",Record created,10 min,Logged correctly,Missing record ? system reminder
,,,,,,
SECTION 2: INFRACTION RESPONSE WORKFLOW,,,,,,
Step,Action,Details,Output,SLA,,
6,Review Scanned Notice,"Check date, property, and complaint. Validate current tenant vs. old tenant.",Verified notice,10 min,,
7,Notify Tenant(s),Email notice with explanation. Request written reply in 48 hours. Attach strata letter.,Tenant informed,15 min,,
8,Collect Response,Forward tenant’s written response to strata (especially if error in name/occupant).,Strata updated,15 min,,
9,Log Infraction,Document tenant reply and outcome in LeadSimple. Escalate repeated cases.,Record updated,10 min,,
10,Owner & Concierge Notification,CC owner and building manager if recurrence or unresolved.,Stakeholders informed,10 min,,
,,,,,,
SECTION 3: WATER / FLOW METER & SYSTEM NOTICES,,,,,,
Step,Action,Details,Output,SLA,,
11,Identify Water/Flow Meter Notice,"Look for “Flow Meter Replacement,” “Heating Valve,” or “Radiant Leak.”",Notice flagged,5 min,,
12,Notify Tenants,"Send specific date/time for access (e.g., Sept 27). Identify key contact (e.g., Yanka).",Access confirmed,15 min,,
13,Notify Owner,Acknowledge to owner that notice received and tenant notified.,Owner reassured,10 min,,
14,Track in LeadSimple,Log under “Water System Notices” with due date.,Record added,5 min,,
15,Verify Completion,Confirm access provided and inspection done; update task to “Complete.”,Closed record,10 min,,
,,,,,,
"SECTION 4: AGM, BUDGET & INSURANCE REVIEW",,,,,,
Step,Action,Key Focus,Output,,,
16,Review AGM Package,"Focus on Budget, Insurance Summary, Bylaw Amendments, and Special Levies only.",Key items summarized,,,
17,Identify Insurance Coverage,"Check sewer backup, flood, and water deductibles. Compare to owner’s policy.",Owner risk flagged,,,
18,Log & Notify Owner,Email summary: deductible comparison + recommendations for top-up insurance riders.,Owner informed,,,
19,Identify Special Levies,"If new levy appears, notify owner and add to “Owner Cost Tracker.”",Levy tracked,,,
20,Review Depreciation Report / Capital Plan,"Note future large maintenance (roof, plumbing).",Risk noted in unit file,,,
,,,,,,
SECTION 5: PHYSICAL MAIL & SCANNED NOTICES,,,,,,
Step,Action,Description,Output,,,
21,Review Faxed/Mailed Notices,"These include AGM, SGM, bylaw infractions — legally required to be mailed.",Notice validated,,,
22,Move Scans to DK Rental Inbox,Prevent loss in shared folders; mark “Red” if pending.,Visibility ensured,,,
23,Match with Related Emails,Cross-check scanned notices against electronic strata emails.,Audit trail completed,,,
24,Log in LeadSimple,Add to proper workflow (“AGM / Levy” or “Infraction”).,Entry completed,,,
25,Flag Urgent Items,"Highlight in Teams if notice involves fines, inspections, or insurance lapses.",Alert sent,,,
,,,,,,
SECTION 6: STRATA MEETING MINUTES & PORTAL ACCESS,,,,,,
Step,Action,Description,Output,,,
26,Review Meeting Minutes,"Scan for key words: “Insurance,” “Flow Valve,” “Special Levy,” “Manager Change.”",Relevant findings extracted,,,
27,Report Findings,Summarize relevant points to PM and owner if applicable.,Owner informed,,,
28,Check for Portal Changes,"New management platforms (e.g., “Condo Owner Portal,” “Callvan ? NewCo”). Register account and record credentials.",Portal access established,,,
29,Log Platform Access,"Save login date, credentials location, and assigned staff.",Secure access control,,,
30,Notify Team,Post update in Teams: “New Strata Portal Activated for [Building#].”,Staff informed,,,
,,,,,,
"SECTION 7: PARKING, ACCESS & PASS MANAGEMENT",,,,,,
Step,Action,Description,Output,,,
31,Review Parking Notices,Check AGM/minutes for new pass fees or access changes.,Findings logged,,,
32,Research Historical Minutes,,Evidence collected,,,
33,Report to PM,"If new charges appear without notice, escalate to strata manager.",Dispute prepared,,,
34,Notify Tenants,If tenant lost pass ? issue cost recovery notice.,Cost recovery initiated,,,
,,,,,,
SECTION 8: STRATA MANAGER & REGULATORY CHANGES,,,,,,
Step,Action,Description,Output,,,
35,Identify Manager Change,,New contact noted,,,
36,Log in LeadSimple,Start workflow “Strata Manager Change.”,Record created,,,
37,File Grievance Notices,"If strata filing with BC FSA, document and alert owner.",Regulatory record,,,
38,Update Portal Access,Replace old manager login credentials.,Access maintained,,,
39,QA Review,Confirm new manager added to contact list.,Database verified,,,
,,,,,,
SECTION 9: QA & REPORTING,,,,,,
Metric,Standard,Frequency,Tool,,,
Inbox backlog,Decipher relevant vs. nonrelevant notices,Daily,Co-Pilot Agent,,,
Response to infractions,?48h,Continuous,Co-Pilot Agent,,,
AGM/Levy review,100% logged,Weekly,Co-Pilot Agent,,,
Strata manager updates,Within 3 days,Rolling,Co-Pilot Agent,,,
Tenant notification,Same day,Continuous,Co-Pilot Agent,,,
